"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4574","register user","chromium","Tue Dec 16 18:10:16 UTC 2025","passed","Tue Dec 16 18:10:20 UTC 2025","","register-user.spec.ts","",""
"","3766","login user","chromium","Tue Dec 16 18:09:44 UTC 2025","passed","Tue Dec 16 18:09:48 UTC 2025","","login.spec.ts","",""
